organismQuantity	eventID	materialSampleID	eventRemarks	verbatimCoordinates	locality	verbatimDepth	eventDate	occurrenceStatus	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	scientificName	scientificNameID	taxonRank	specificEpithet	occurrenceID
50	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.883_SAMN10847345
50	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.954_SAMN10847231
50	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Platyhelminthes	Rhabditophora	Polycladida			Polycladida	urn:lsid:marinespecies.org:taxname:2853	order		asv.956_SAMN10847333
50	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida			Harpacticoida	urn:lsid:marinespecies.org:taxname:1102	order		asv.958_SAMN10847357
49	SAMN10847251	SAMN10847251	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-02-03	present	25614	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. F AC_2013	urn:lsid:marinespecies.org:taxname:104196	genus		asv.109_SAMN10847251
49	SAMN10847228	SAMN10847228	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2016-11-22	present	32657	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.132_SAMN10847228
49	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.178_SAMN10847276
49	SAMN10847249	SAMN10847249	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2016-11-22	present	27377	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.201_SAMN10847249
49	SAMN10847226	SAMN10847226	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-02-03	present	30902	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.230_SAMN10847226
49	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.275_SAMN10847276
49	SAMN10847249	SAMN10847249	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2016-11-22	present	27377	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	urn:lsid:marinespecies.org:taxname:1361158	species	pacifica	asv.285_SAMN10847249
49	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus	urn:lsid:marinespecies.org:taxname:138228	genus		asv.286_SAMN10847229
49	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.323_SAMN10847229
49	SAMN10847226	SAMN10847226	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-02-03	present	30902	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.325_SAMN10847226
49	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.326_SAMN10847219
49	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	urn:lsid:marinespecies.org:taxname:464449	species	polymorphus	asv.418_SAMN10847272
49	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina tobinii	urn:lsid:marinespecies.org:taxname:1358375	species	tobinii	asv.502_SAMN10847276
49	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.555_SAMN10847231
49	SAMN10847266	SAMN10847266	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2017-05-31	present	14698	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.570_SAMN10847266
49	SAMN10847228	SAMN10847228	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2016-11-22	present	32657	DNA Sequence reads	DNA Sequence reads	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Rhizophyllidaceae	Portieria	Portieria cf. hornemannii sp.41 FL_2018	urn:lsid:marinespecies.org:taxname:206097	genus		asv.657_SAMN10847228
49	SAMN10847253	SAMN10847253	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-05-31	present	28126	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda					Arthropoda	urn:lsid:marinespecies.org:taxname:1065	phylum		asv.692_SAMN10847253
49	SAMN10847223	SAMN10847223	filtered water	43.36 N 8.39 W	Spain: A Coruna	surface	2017-03-22	present	29891	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.80_SAMN10847223
49	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.817_SAMN10847231
49	SAMN10847228	SAMN10847228	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2016-11-22	present	32657	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.890_SAMN10847228
49	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.967_SAMN10847255
49	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales			Naviculales	urn:lsid:marinespecies.org:taxname:149015	order		asv.968_SAMN10847276
49	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Mollusca	Gastropoda		Limapontiidae	Placida	Placida dendritica	urn:lsid:marinespecies.org:taxname:141565	species	dendritica	asv.969_SAMN10847333
49	SAMN10847336	SAMN10847336	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-10-06	present	33359	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.970_SAMN10847336
49	SAMN10847336	SAMN10847336	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-10-06	present	33359	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.971_SAMN10847336
49	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.972_SAMN10847345
49	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia	urn:lsid:marinespecies.org:taxname:117030	genus		asv.973_SAMN10847345
49	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.974_SAMN10847345
48	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.168_SAMN10847272
48	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.254_SAMN10847231
48	SAMN10847253	SAMN10847253	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-05-31	present	28126	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.323_SAMN10847253
48	SAMN10847336	SAMN10847336	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-10-06	present	33359	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.400_SAMN10847336
48	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.438_SAMN10847345
48	SAMN10847226	SAMN10847226	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-02-03	present	30902	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.452_SAMN10847226
48	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.63_SAMN10847345
48	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.744_SAMN10847219
48	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.850_SAMN10847348
48	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.861_SAMN10847231
48	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.869_SAMN10847231
48	SAMN10847265	SAMN10847265	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2017-02-03	present	6365	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.873_SAMN10847265
48	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Codonium	Codonium proliferum	urn:lsid:marinespecies.org:taxname:565154	species	proliferum	asv.894_SAMN10847219
48	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.90_SAMN10847272
48	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Temoridae	Temora	Temora stylifera	urn:lsid:marinespecies.org:taxname:104879	species	stylifera	asv.944_SAMN10847231
48	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.976_SAMN10847219
48	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.977_SAMN10847219
48	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.978_SAMN10847219
48	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota	Annelida					Annelida	urn:lsid:marinespecies.org:taxname:882	phylum		asv.991_SAMN10847276
48	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota	Annelida	Polychaeta		Capitellidae	Capitella	Capitella	urn:lsid:marinespecies.org:taxname:129211	genus		asv.992_SAMN10847276
48	SAMN10847336	SAMN10847336	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-10-06	present	33359	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae	Obelia	Obelia geniculata	urn:lsid:marinespecies.org:taxname:117388	species	geniculata	asv.994_SAMN10847336
48	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.995_SAMN10847357
47	SAMN10847228	SAMN10847228	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2016-11-22	present	32657	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Muggiaea	Muggiaea atlantica	urn:lsid:marinespecies.org:taxname:135441	species	atlantica	asv.1001_SAMN10847228
47	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.1003_SAMN10847231
47	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae		Balanidae	urn:lsid:marinespecies.org:taxname:106057	family		asv.1009_SAMN10847333
47	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Mollusca	Gastropoda		Plakobranchidae	Elysia	Elysia viridis	urn:lsid:marinespecies.org:taxname:139686	species	viridis	asv.1010_SAMN10847333
47	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.1012_SAMN10847348
47	SAMN10847226	SAMN10847226	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-02-03	present	30902	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.168_SAMN10847226
47	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.223_SAMN10847276
47	SAMN10847228	SAMN10847228	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2016-11-22	present	32657	DNA Sequence reads	DNA Sequence reads	Eukaryota	Haptista	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi	urn:lsid:marinespecies.org:taxname:115104	species	huxleyi	asv.292_SAMN10847228
47	SAMN10847251	SAMN10847251	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-02-03	present	25614	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.520_SAMN10847251
47	SAMN10847253	SAMN10847253	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-05-31	present	28126	DNA Sequence reads	DNA Sequence reads	Eukaryota	Rhodophyta	Florideophyceae	Palmariales	Palmariaceae	Palmaria	Palmaria decipiens	urn:lsid:marinespecies.org:taxname:325542	species	decipiens	asv.69_SAMN10847253
47	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.725_SAMN10847231
47	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.734_SAMN10847231
47	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.751_SAMN10847276
47	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads	Eukaryota	Prasinodermophyta	Prasinodermophyceae	Prasinodermales	Prasinodermaceae	Prasinoderma	Prasinoderma coloniale	urn:lsid:marinespecies.org:taxname:375881	species	coloniale	asv.879_SAMN10847229
46	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.1013_SAMN10847219
46	SAMN10847228	SAMN10847228	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2016-11-22	present	32657	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.1015_SAMN10847228
46	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.1016_SAMN10847229
46	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	Synchaeta	Synchaeta	urn:lsid:marinespecies.org:taxname:134958	genus		asv.1018_SAMN10847231
46	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads	Eukaryota	Rotifera	Eurotatoria	Ploima			Ploima	urn:lsid:marinespecies.org:taxname:17904	order		asv.1019_SAMN10847231
46	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.1022_SAMN10847255
46	SAMN10847266	SAMN10847266	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2017-05-31	present	14698	DNA Sequence reads	DNA Sequence reads	Eukaryota	Oomycota		Pythiales	Pythiaceae	Pythium	Pythium cucurbitacearum	urn:lsid:marinespecies.org:taxname:172180	genus		asv.1023_SAMN10847266
46	SAMN10847359	SAMN10847359	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-10-11	present	43570	DNA Sequence reads	DNA Sequence reads	Eukaryota	Platyhelminthes	Rhabditophora	Polycladida			Polycladida	urn:lsid:marinespecies.org:taxname:2853	order		asv.1025_SAMN10847359
46	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.194_SAMN10847231
46	SAMN10847251	SAMN10847251	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-02-03	present	25614	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.213_SAMN10847251
46	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.237_SAMN10847219
46	SAMN10847223	SAMN10847223	filtered water	43.36 N 8.39 W	Spain: A Coruna	surface	2017-03-22	present	29891	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.363_SAMN10847223
46	SAMN10847253	SAMN10847253	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-05-31	present	28126	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.378_SAMN10847253
46	SAMN10847251	SAMN10847251	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-02-03	present	25614	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.42_SAMN10847251
46	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.446_SAMN10847231
46	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.452_SAMN10847272
46	SAMN10847249	SAMN10847249	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2016-11-22	present	27377	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.474_SAMN10847249
46	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.474_SAMN10847231
46	SAMN10847251	SAMN10847251	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-02-03	present	25614	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.483_SAMN10847251
46	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina tobinii	urn:lsid:marinespecies.org:taxname:1358375	species	tobinii	asv.502_SAMN10847272
46	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.615_SAMN10847348
46	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.625_SAMN10847272
46	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.857_SAMN10847345
46	SAMN10847223	SAMN10847223	filtered water	43.36 N 8.39 W	Spain: A Coruna	surface	2017-03-22	present	29891	DNA Sequence reads	DNA Sequence reads	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Malacoceros	Malacoceros	urn:lsid:marinespecies.org:taxname:129614	genus		asv.906_SAMN10847223
46	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.918_SAMN10847231
45	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora neocaeca	urn:lsid:marinespecies.org:taxname:330936	species	neocaeca	asv.1032_SAMN10847348
45	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.1033_SAMN10847348
45	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida			Harpacticoida	urn:lsid:marinespecies.org:taxname:1102	order		asv.1034_SAMN10847357
45	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.275_SAMN10847272
45	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia	urn:lsid:marinespecies.org:taxname:149045	genus		asv.360_SAMN10847255
45	SAMN10847226	SAMN10847226	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-02-03	present	30902	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.378_SAMN10847226
